ID_REF	Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	Ctrl_5	Ctrl_6	Ctrl_7	Ctrl_8	Ctrl_9	BRCA1_1	BRCA1_2	BRCA1_3	BRCA1_4	BRCA1_5	BRCA1_6	BRCA1_7	BRCA1_8	BRCA1_9	BRCA2_1	BRCA2_2	BRCA2_3	BRCA2_4	BRCA2_5	BRCA2_6	BRCA2_7	BRCA2_8
1007_s_at	5.435102563	5.008328647	5.231526744	5.031997526	4.985289788	6.142334317	5.004434468	5.411374156	5.116332431	5.284818193	5.182802773	5.456289677	5.048848986	5.087956317	4.848452767	5.340627675	5.054646916	5.436514789	5.344157513	5.535931643	5.5405703	5.351259014	5.646675677	5.459019712	5.28957861	5.471317884
1053_at	7.733027965	7.777820411	8.454897461	8.019996197	6.771158535	6.955941257	8.672567276	5.346701	7.446739114	6.360130717	7.902398222	7.961361637	8.22940856	8.121414136	7.958433339	6.686733193	7.167523062	7.124137606	6.59344585	6.704074244	7.557785494	7.502817037	7.518530071	7.804092039	7.434407803	6.742815048
117_at	4.145029996	4.291543794	4.379872612	4.478607232	4.529217299	4.866893359	4.274667119	4.726104964	4.533870077	10.06650215	4.474714082	4.330880152	4.344952136	4.355169515	4.535119166	11.94644215	5.17401722	5.48721194	4.193879241	4.597297217	4.634234304	4.518197524	5.785436349	4.183698142	4.249086254	4.489094868
121_at	6.072102336	6.12896237	6.334051269	5.892952513	6.092043164	6.62589601	5.47414788	6.113825956	6.053389563	6.294136828	6.042888413	5.740114828	5.674960238	5.823127831	6.300953692	6.160759935	6.312074668	5.850465545	6.021123083	5.957165099	6.439729516	5.790195014	6.411545055	6.368793284	6.064547968	5.786746603
1255_g_at	3.88035504	3.741581231	3.671371379	3.721694263	3.561725055	3.811393076	3.76568015	3.621480446	3.631466421	3.681249133	3.685220691	3.596857665	3.625883351	3.56451607	3.585754809	3.676802862	3.873683263	3.666751638	3.682485859	3.604367716	3.706883342	3.693750206	3.82229803	3.863785983	3.619982496	3.692030196
1294_at	8.24400179	7.863172679	6.393570141	7.702443599	8.419192451	8.918575916	7.331134685	9.121966906	8.420907269	8.14553392	7.58064223	7.92314186	7.77508253	7.826739232	8.275642564	8.471138924	8.621004204	8.199451527	8.079504411	8.674645491	8.158691747	7.248584912	7.991346271	8.281895429	8.035926299	8.610115766
1316_at	3.995260394	3.934177094	4.026327231	4.159512449	4.085101848	4.120549854	3.961009979	4.079779381	3.949762922	4.228227228	3.993734845	3.977801477	3.889287135	4.154478392	4.054460465	3.948405739	4.138326448	3.975198476	3.911734112	4.084331177	4.178521936	3.944305829	4.175724894	3.848689337	4.005591476	4.191128803
1320_at	3.894230647	4.029558715	4.190585454	3.866083485	4.02246036	3.759336103	4.017860152	3.982694153	3.994139757	4.046465074	4.147528404	3.738986029	3.924826682	3.979359652	4.137501529	3.858987597	3.889806875	3.892870681	4.109133974	3.927564422	3.977502876	4.05068337	3.951111519	3.87935025	3.974860636	3.988411752
1405_i_at	10.11995703	11.29611153	8.828151713	11.19698621	12.23957389	11.41310658	9.783332334	10.60265005	10.70142871	11.81978542	11.88407069	11.80666896	9.783927189	8.688305102	9.797971887	11.15446067	9.228351064	11.12823736	11.70672629	11.78146287	9.537390942	10.53770868	9.951454037	11.24995188	11.44237651	11.76881109
1431_at	3.601693713	3.66724317	3.677337758	3.741056841	3.750783283	3.881523667	3.682348887	3.601725909	3.648641954	3.725275508	3.679578316	3.678737481	3.570604875	3.681539181	3.672553942	3.686303268	3.694851155	3.705859284	3.852376559	3.76056663	3.770317859	3.644094298	3.708951505	3.803045876	3.847964122	3.85708206
