ORF	T0.0	T0.5	T1.0	T1.5	T2.0	T2.5	T3.0	T3.5	T4.0	T4.5	T5.0	T5.5	T6.0	T6.5
YDL025C	1.1710	0.0510	0.1280	0.4700	0.1220	-0.3750	-0.0880	0.0500	-0.0960	-0.2410	-0.1720	-0.0180	-0.4000	0.0480
YKL032C	0.3060	0.2520	-0.2240	-0.2210	-0.1440	-0.0460	0.2820	0.0460	0.1690	0.0010	-0.1750	0.2540	0.0550	-0.1530
YJR150C	0.1690	0.1630	-0.3000	-0.3330	0.3050	0.2390	0.2370	0.0870	-0.0420	0.0490	0.3430	-0.2480	-0.3680	0.2430
YNL325C	0.3110	0.0750	-0.0480	-0.1910	-0.0240	0.1780	0.0890	-0.6580	-0.5593	-0.0080	-0.0260	-0.5980	-1.1160	-0.0640
YER048C	0.7950	0.4180	0.3970	0.4110	0.0920	0.1210	0.2260	0.2550	0.1070	-0.0650	0.3650	0.0800	0.2830	0.2230
YPR097W	0.1380	0.0530	-0.0540	0.2590	0.1830	0.0140	0.7020	-0.0990	-0.2320	0.3360	0.0960	-0.0060	-0.3870	-0.1180
YNL098C	1.1110	-0.0670	0.0170	-0.2420	-0.5580	-0.1860	0.2190	0.5530	0.3000	-0.0620	0.4010	0.5640	0.3080	0.3500
YJL166W	1.7410	0.7140	0.7210	0.2410	0.4610	0.4330	0.3150	0.3260	0.0840	0.1970	0.5490	0.4860	0.1010	0.4260
YCR014C	0.3660	0.1150	0.2580	-0.1400	0.2360	-0.1520	-0.0420	-0.3710	-0.4720	-0.7210	-0.1070	-0.5210	-0.4240	-0.0710
YDR006C	0.8190	0.1670	0.1020	0.2410	0.0330	0.2960	-0.1420	0.1910	0.1620	0.3360	0.0970	-0.1470	0.0630	0.3600
YOR291W	-0.8090	0.3340	0.4320	0.1290	-0.1200	-0.1430	0.2110	0.1140	0.0630	0.1060	-0.3450	0.2810	-0.2040	0.0920
YGL215W	0.7450	-0.1180	-0.1625	0.1630	0.0030	-0.3235	-0.2455	-0.4795	-0.3565	-0.4715	-0.3630	-0.5365	-0.2305	-0.2935
