ORF,T0.0,T0.5,T1.0,T1.5,T2.0,T2.5,T3.0,T3.5,T4.0,T4.5,T5.0,T5.5,T6.0,T6.5
YDL025C,1.171,0.051,0.128,0.47,0.122,-0.375,-0.088,0.05,-0.096,-0.241,-0.172,-0.018,-0.4,0.048
YKL032C,0.306,0.252,-0.224,-0.221,-0.144,-0.046,0.282,0.046,0.169,0.001,-0.175,0.254,0.055,-0.153
YJR150C,0.169,0.163,-0.3,-0.333,0.305,0.239,0.237,0.087,-0.042,0.049,0.343,-0.248,-0.368,0.243
YNL325C,0.311,0.075,-0.048,-0.191,-0.024,0.178,0.089,-0.658,-0.5593,-0.008,-0.026,-0.598,-1.116,-0.064
YER048C,0.795,0.418,0.397,0.411,0.092,0.121,0.226,0.255,0.107,-0.065,0.365,0.08,0.283,0.223
YPR097W,0.138,0.053,-0.054,0.259,0.183,0.014,0.702,-0.099,-0.232,0.336,0.096,-0.006,-0.387,-0.118
YNL098C,1.111,-0.067,0.017,-0.242,-0.558,-0.186,0.219,0.553,0.3,-0.062,0.401,0.564,0.308,0.35
YJL166W,1.741,0.714,0.721,0.241,0.461,0.433,0.315,0.326,0.084,0.197,0.549,0.486,0.101,0.426
YCR014C,0.366,0.115,0.258,-0.14,0.236,-0.152,-0.042,-0.371,-0.472,-0.721,-0.107,-0.521,-0.424,-0.071
YDR006C,0.819,0.167,0.102,0.241,0.033,0.296,-0.142,0.191,0.162,0.336,0.097,-0.147,0.063,0.36
YOR291W,-0.809,0.334,0.432,0.129,-0.12,-0.143,0.211,0.114,0.063,0.106,-0.345,0.281,-0.204,0.092
YGL215W,0.745,-0.118,-0.1625,0.163,0.003,-0.3235,-0.2455,-0.4795,-0.3565,-0.4715,-0.363,-0.5365,-0.2305,-0.2935
YMR027W,0.556,-0.084,-0.38,-0.3,-0.284,-0.417,-0.415,-0.209,0.415,-0.237,-0.495,0.491,0.24,0.048
YBR111C,0.858,0.3005,0.2445,0.321,0.087,-0.082,-0.014,0.0255,-0.02,-0.2525,-0.1385,0.269,0.209,0.349
YMR046C,0.832,0.498,0.509,0.634,0.301,0.324,0.082,0.055,0.05,0.187,0.23,0.288,-0.149,0.502
YJR030C,-0.755,-0.933,-0.57,-0.17,0.295,-0.191,-0.225,-0.225,-0.448,-0.341,-0.48,-0.567,-0.775,-0.226
YJL200C,-1.846,-0.167,-0.113,0.349,0.951,0.907,0.306,0.442,0.132,0.302,0.103,-0.464,-1.078,-0.571
YLR159W,0.423,-0.42,-0.708,-0.941,-0.478,-0.574,-0.299,-0.097,-0.243,-0.363,-0.592,-0.28,-0.285,-0.456
YFL066C,-0.619,0.653,0.479,0.458,0.618,0.828,0.697,0.702,0.334,0.441,0.404,0.243,0.2,0.523
YBR023C,-0.911,-0.3475,0.868,0.268,0.3065,0.54,0.8775,0.358,0.2405,0.4895,0.3565,0.4865,-0.0785,0.2045
